HHID,residence,region,wealth_q
001001,Urban,Great Lake,Rich
001004,Urban,Great Lake,Poor
001006,Urban,Great Lake,Middle
001008,Urban,Great Lake,Rich
001011,Urban,Great Lake,Richest
001013,Urban,Great Lake,Poor
001015,Urban,Great Lake,Middle
001018,Urban,Great Lake,Richest
001020,Urban,Great Lake,Middle
001022,Urban,Great Lake,Richest
001025,Urban,Great Lake,Richest
001027,Urban,Great Lake,Middle
001029,Urban,Great Lake,Richest
001032,Urban,Great Lake,Richest
001034,Urban,Great Lake,Richest
001036,Urban,Great Lake,Poor
001038,Urban,Great Lake,Richest
001041,Urban,Great Lake,Richest
002007,Urban,Great Lake,Middle
002014,Urban,Great Lake,Middle
002021,Urban,Great Lake,Richest
002028,Urban,Great Lake,Richest
002035,Urban,Great Lake,Richest
002042,Urban,Great Lake,Richest
002049,Urban,Great Lake,Richest
002057,Urban,Great Lake,Richest
002064,Urban,Great Lake,Richest
002071,Urban,Great Lake,Richest
002078,Urban,Great Lake,Richest
002085,Urban,Great Lake,Richest
002092,Urban,Great Lake,Poor
002099,Urban,Great Lake,Richest
002106,Urban,Great Lake,Richest
002113,Urban,Great Lake,Richest
002120,Urban,Great Lake,Richest
002125,Urban,Great Lake,Rich
003002,Urban,Great Lake,Richest
003004,Urban,Great Lake,Richest
003009,Urban,Great Lake,Richest
003011,Urban,Great Lake,Richest
003014,Urban,Great Lake,Richest
003016,Urban,Great Lake,Richest
003018,Urban,Great Lake,Richest
003021,Urban,Great Lake,Richest
003023,Urban,Great Lake,Richest
003025,Urban,Great Lake,Richest
003028,Urban,Great Lake,Richest
003030,Urban,Great Lake,Middle
003032,Urban,Great Lake,Rich
003035,Urban,Great Lake,Middle
003037,Urban,Great Lake,Middle
003039,Urban,Great Lake,Poorest
003042,Urban,Great Lake,Richest
003044,Urban,Great Lake,Richest
004001,Urban,Great Lake,Richest
004003,Urban,Great Lake,Richest
004006,Urban,Great Lake,Richest
004008,Urban,Great Lake,Richest
004010,Urban,Great Lake,Richest
004013,Urban,Great Lake,Richest
004015,Urban,Great Lake,Richest
004017,Urban,Great Lake,Richest
004020,Urban,Great Lake,Richest
004022,Urban,Great Lake,Richest
004024,Urban,Great Lake,Richest
004026,Urban,Great Lake,Rich
004029,Urban,Great Lake,Rich
004031,Urban,Great Lake,Middle
004033,Urban,Great Lake,Poor
004036,Urban,Great Lake,Middle
004038,Urban,Great Lake,Richest
004040,Urban,Great Lake,Richest
005002,Urban,Great Lake,Rich
005004,Urban,Great Lake,Poor
005007,Urban,Great Lake,Richest
005009,Urban,Great Lake,Richest
005011,Urban,Great Lake,Richest
005013,Urban,Great Lake,Richest
005016,Urban,Great Lake,Poor
005018,Urban,Great Lake,Middle
005020,Urban,Great Lake,Poor
005023,Urban,Great Lake,Rich
005025,Urban,Great Lake,Poor
005027,Urban,Great Lake,Poor
005030,Urban,Great Lake,Richest
005032,Urban,Great Lake,Richest
005034,Urban,Great Lake,Richest
005037,Urban,Great Lake,Richest
005039,Urban,Great Lake,Richest
005041,Urban,Great Lake,Richest
005044,Urban,Great Lake,Richest
006002,Urban,Great Lake,Richest
006004,Urban,Great Lake,Rich
006007,Urban,Great Lake,Middle
006009,Urban,Great Lake,Poor
006011,Urban,Great Lake,Poorest
006013,Urban,Great Lake,Middle
006016,Urban,Great Lake,Middle
006018,Urban,Great Lake,Poor
006020,Urban,Great Lake,Poor
006023,Urban,Great Lake,Poor
006025,Urban,Great Lake,Poor
006030,Urban,Great Lake,Poor
006032,Urban,Great Lake,Richest
006034,Urban,Great Lake,Poorest
006037,Urban,Great Lake,Richest
006039,Urban,Great Lake,Richest
006041,Urban,Great Lake,Poor
006044,Urban,Great Lake,Poor
007001,Rural,Great Lake,Middle
007003,Rural,Great Lake,Middle
007005,Rural,Great Lake,Rich
007006,Rural,Great Lake,Rich
007008,Rural,Great Lake,Rich
007010,Rural,Great Lake,Poor
007011,Rural,Great Lake,Rich
007013,Rural,Great Lake,Poor
007015,Rural,Great Lake,Rich
007016,Rural,Great Lake,Rich
007018,Rural,Great Lake,Middle
007020,Rural,Great Lake,Richest
007022,Rural,Great Lake,Rich
007023,Rural,Great Lake,Rich
007025,Rural,Great Lake,Middle
007027,Rural,Great Lake,Middle
007028,Rural,Great Lake,Middle
007030,Rural,Great Lake,Middle
007032,Rural,Great Lake,Middle
007033,Rural,Great Lake,Poorest
007035,Rural,Great Lake,Poor
007037,Rural,Great Lake,Poor
007040,Rural,Great Lake,Middle
007042,Rural,Great Lake,Poor
007043,Rural,Great Lake,Middle
007045,Rural,Great Lake,Middle
008001,Rural,Great Lake,Middle
008003,Rural,Great Lake,Rich
008004,Rural,Great Lake,Poor
008006,Rural,Great Lake,Poor
008008,Rural,Great Lake,Poor
008010,Rural,Great Lake,Rich
008011,Rural,Great Lake,Rich
008013,Rural,Great Lake,Middle
008015,Rural,Great Lake,Rich
008016,Rural,Great Lake,Richest
008018,Rural,Great Lake,Richest
008020,Rural,Great Lake,Middle
008023,Rural,Great Lake,Richest
008027,Rural,Great Lake,Rich
008028,Rural,Great Lake,Richest
008030,Rural,Great Lake,Richest
008032,Rural,Great Lake,Middle
008033,Rural,Great Lake,Rich
008037,Rural,Great Lake,Rich
008038,Rural,Great Lake,Richest
009001,Rural,Great Lake,Richest
009003,Rural,Great Lake,Richest
009005,Rural,Great Lake,Richest
009007,Rural,Great Lake,Richest
009008,Rural,Great Lake,Richest
009010,Rural,Great Lake,Richest
009012,Rural,Great Lake,Richest
009014,Rural,Great Lake,Richest
009015,Rural,Great Lake,Poor
009017,Rural,Great Lake,Middle
009019,Rural,Great Lake,Rich
009020,Rural,Great Lake,Richest
009022,Rural,Great Lake,Richest
009024,Rural,Great Lake,Richest
009026,Rural,Great Lake,Rich
009027,Rural,Great Lake,Middle
