MEMID,HV106
001001001,Primary
001001002,Primary
001001003,Primary
001001004,"No education, preschool"
001002001,Primary
001002002,"No education, preschool"
001002003,"No education, preschool"
001003001,Secondary
001003002,Secondary
001003003,Secondary
001003004,Primary
001004001,Secondary
001004002,Secondary
001004003,Primary
001005001,Primary
001005002,Primary
001005003,Secondary
001005004,Primary
001005005,Primary
001006001,Secondary
001006002,Primary
001006003,Secondary
001006004,Secondary
001006005,"No education, preschool"
001006006,Secondary
001007001,"No education, preschool"
001007002,"No education, preschool"
001007003,"No education, preschool"
001008001,Primary
001008002,Primary
001008003,Primary
001008004,"No education, preschool"
001009001,Secondary
001009002,Primary
001009003,"No education, preschool"
001010001,"No education, preschool"
001010002,"No education, preschool"
001010003,Primary
001010004,Secondary
001010005,Primary
001010006,"No education, preschool"
001011001,Primary
001011002,Primary
001011003,Secondary
001011004,"No education, preschool"
001012001,Primary
001014001,Secondary
001014002,"No education, preschool"
001015001,Secondary
001015002,Primary
001015003,Primary
001015004,Primary
001015005,Primary
001016001,Primary
001016002,"No education, preschool"
001016003,"No education, preschool"
001016004,"No education, preschool"
001017001,"No education, preschool"
001017002,Primary
001017003,Secondary
001018001,"No education, preschool"
001018002,"No education, preschool"
001018003,Secondary
001018004,Secondary
001018005,Higher
001019001,Primary
001019002,Primary
001019003,Primary
001019004,"No education, preschool"
001020001,Primary
001020002,Primary
001020003,Primary
001020004,Secondary
001021001,Primary
001021002,Primary
001021003,Primary
001021004,Secondary
001021005,Primary
001021006,"No education, preschool"
001022001,Primary
001023001,Primary
001023002,Primary
001023003,Primary
001023004,Primary
001023005,"No education, preschool"
001023006,Secondary
001023007,Primary
001023008,Primary
001025001,Secondary
001025002,Primary
001025003,Secondary
001025004,Primary
001025005,Secondary
001026001,Primary
001026002,Primary
001026003,Primary
001026004,"No education, preschool"
001026005,Secondary
001027001,Primary
001027002,Primary
001027003,Primary
001027004,Primary
001027005,Primary
001027006,"No education, preschool"
001028001,"No education, preschool"
001028002,Secondary
001028003,Secondary
001028004,Secondary
001028005,Secondary
001028006,"No education, preschool"
001028007,"No education, preschool"
001028008,Primary
001028009,Primary
001028010,Primary
002001001,Primary
002001002,Primary
002001003,Secondary
002001004,Secondary
002001005,Secondary
002001006,"No education, preschool"
002002001,Primary
002002002,Primary
002002003,Secondary
002002004,Primary
002002005,Primary
002002006,"No education, preschool"
002003001,Secondary
002003002,Secondary
002003003,Secondary
002003004,Primary
002003005,Secondary
002004001,Primary
002005001,Primary
002005002,Primary
002005003,Secondary
002005004,Primary
002005005,"No education, preschool"
002005006,"No education, preschool"
002006001,Secondary
002006002,Primary
002007001,Primary
002007002,Primary
002007003,Secondary
002008001,"No education, preschool"
002008002,Secondary
002008003,"No education, preschool"
002009001,Primary
002009002,Secondary
002009003,Secondary
002009004,Primary
002010001,Secondary
002010002,Primary
002010003,Secondary
002010004,Secondary
002010005,Secondary
002010006,Primary
002010007,Primary
002010008,"No education, preschool"
002010009,"No education, preschool"
002011001,Primary
002011002,Primary
002011003,Primary
002011004,"No education, preschool"
002012001,Primary
002012002,Higher
002012003,Secondary
002012004,Primary
002013001,Secondary
002013002,Primary
002013003,Secondary
002014001,Primary
002015001,Secondary
002015002,"No education, preschool"
002015003,Secondary
002015004,Secondary
002015005,"No education, preschool"
002015006,"No education, preschool"
002016001,Secondary
002016002,Secondary
002016003,Primary
002016004,"No education, preschool"
002016005,"No education, preschool"
002017001,Primary
002017002,Primary
002018001,Primary
002018002,Primary
002018003,Secondary
002018004,Secondary
002018005,"No education, preschool"
002018006,Primary
002018007,"No education, preschool"
002019001,Primary
002019002,"No education, preschool"
002019003,Primary
002019004,"No education, preschool"
002019005,"No education, preschool"
002020001,Secondary
002020002,Secondary
002020003,"No education, preschool"
002021001,Primary
002021002,"No education, preschool"
002021003,Primary
002021004,Primary
002021005,Primary
002021006,"No education, preschool"
002021007,Primary
002021008,"No education, preschool"
002022001,Secondary
002022002,Secondary
002022003,"No education, preschool"
002022004,"No education, preschool"
002022005,Secondary
002023001,Primary
002023002,Primary
002023003,Secondary
002023004,Primary
002024001,Primary
002024002,Primary
002024003,Secondary
002024004,Primary
002024005,Primary
002024006,Primary
002024007,"No education, preschool"
002025001,Primary
002025002,Primary
002025003,Secondary
002025004,Primary
002025005,"No education, preschool"
002026001,"No education, preschool"
002026002,Primary
002026003,Secondary
002026004,Primary
002026005,"No education, preschool"
002027001,Secondary
002027002,Secondary
002027003,"No education, preschool"
002028001,Primary
002028002,"No education, preschool"
002028003,Primary
002028004,Primary
002028005,Primary
002028006,"No education, preschool"
003001001,Primary
003001002,Primary
003001003,Primary
003002001,Primary
003002002,Secondary
003002003,Secondary
003002004,Secondary
003002005,Secondary
003002006,"No education, preschool"
003003001,Primary
003003002,Primary
003003003,Primary
003003004,"No education, preschool"
003005001,Primary
003005002,Primary
003005003,"No education, preschool"
003005004,"No education, preschool"
003006001,Primary
003006002,Primary
003007001,Primary
003007002,Primary
003007003,Secondary
003007004,Secondary
003007005,Primary
003007006,"No education, preschool"
003008001,"No education, preschool"
003008002,"No education, preschool"
003008003,Primary
003008004,Primary
003010001,Secondary
003010002,Primary
003010003,"No education, preschool"
003010004,Primary
003010005,"No education, preschool"
003010006,"No education, preschool"
003011001,Primary
003011002,"No education, preschool"
003011003,"No education, preschool"
003012001,Secondary
003012002,Secondary
003012003,Secondary
003012004,Secondary
003013001,Primary
003013002,"No education, preschool"
003013003,Primary
003013004,Secondary
003013005,Secondary
003013006,Primary
003014001,Primary
003014002,Primary
003014003,Primary
003014004,"No education, preschool"
003015001,Secondary
003015002,Primary
003015003,"No education, preschool"
003015004,Primary
003015005,"No education, preschool"
003015006,Primary
003017001,Secondary
003017002,Primary
003017003,Primary
003017004,Primary
003017005,"No education, preschool"
003018001,Secondary
003018002,Primary
003018003,Primary
003018004,Secondary
003018005,Primary
003018006,Primary
003018007,Primary
003018008,"No education, preschool"
003018009,"No education, preschool"
003019001,Primary
003019002,Primary
003019003,Primary
003019004,"No education, preschool"
003020001,Primary
003020002,Secondary
003020003,Primary
003020004,"No education, preschool"
003020005,"No education, preschool"
003021001,Secondary
003021002,Secondary
003021003,Primary
003022001,Secondary
003022002,Primary
003022003,Secondary
003022004,Primary
003022005,"No education, preschool"
003023001,Primary
003023002,Primary
003023003,Primary
003023004,Secondary
003023005,Primary
003024001,Primary
003024002,Primary
003024003,Primary
003024004,"No education, preschool"
003025001,Primary
003025002,Secondary
003025003,Primary
003025004,Primary
003025005,Primary
003026001,Primary
003026002,Secondary
003026003,Primary
003026004,"No education, preschool"
003026005,"No education, preschool"
003027001,Primary
003027002,Primary
003027003,Primary
003027004,"No education, preschool"
003027005,"No education, preschool"
003028001,Primary
003028002,"No education, preschool"
003028003,Secondary
003028004,Secondary
003028005,"No education, preschool"
004001001,Secondary
004002001,Secondary
004002002,Secondary
004002003,Secondary
004003001,"No education, preschool"
004003002,Primary
004003003,Primary
004003004,Secondary
004003005,"No education, preschool"
