Total,Year,residence,region,wealth_q,elderly_hoh,sex_hoh,sex_ch,mother_edu,age_in_months,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,ch_age_cat_6_59,chweight,breastmilk,cont_1223_bf
Total,2000,Urban,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,23.0,0,0,100,100,100,100,0.84447,0,0.0
Total,2000,Urban,Great Lake,Poor,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: None/ECE,6.0,0,100,0,0,100,100,0.84447,100,
Total,2000,Urban,Great Lake,Poor,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,58.0,0,0,0,0,0,100,0.84447,0,
Total,2000,Urban,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,14.0,0,0,100,100,100,100,0.84447,100,100.0
Total,2000,Urban,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,34.0,0,0,0,0,0,100,0.84447,0,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,49.0,0,0,0,0,0,100,0.84447,0,
Total,2000,Urban,Great Lake,Poor,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: None/ECE,25.0,0,0,0,0,0,100,0.84447,100,
Total,2000,Urban,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,12.0,0,0,100,100,100,100,0.973275,100,100.0
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,10.0,0,0,100,0,100,100,0.973275,100,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,28.0,0,0,0,0,0,100,0.973275,0,
Total,2000,Urban,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,15.0,0,0,100,100,100,100,0.973275,0,0.0
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,8.0,0,100,0,0,100,100,0.973275,100,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,0.973275,0,
Total,2000,Urban,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,18.0,0,0,100,100,100,100,0.973275,100,100.0
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,39.0,0,0,0,0,0,100,0.858763,0,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,30.0,0,0,0,0,0,100,0.858763,0,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,10.0,0,0,100,0,100,100,0.858763,100,
Total,2000,Urban,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,0.858763,0,
Total,2000,Urban,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,30.0,0,0,0,0,0,100,0.858763,0,
Total,2000,Urban,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,20.0,0,0,100,100,100,100,0.858763,100,100.0
Total,2000,Urban,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,18.0,0,0,100,100,100,100,0.858763,100,100.0
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,30.0,0,0,0,0,0,100,0.855015,0,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,28.0,0,0,0,0,0,100,0.855015,0,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,42.0,0,0,0,0,0,100,0.855015,0,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,53.0,0,0,0,0,0,100,0.855015,0,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,19.0,0,0,100,100,100,100,0.855015,100,100.0
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,0.855015,0,
Total,2000,Urban,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,2.0,100,0,0,0,0,0,0.855015,100,
Total,2000,Urban,Great Lake,Poor,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,,0,0,0,0,0,0,0.855015,0,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,6.0,0,100,0,0,100,100,0.855015,100,
Total,2000,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,37.0,0,0,0,0,0,100,0.855015,0,
Total,2000,Urban,Great Lake,Poor,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: None/ECE,10.0,0,0,100,0,100,100,0.865385,100,
