Total,Year,residence,region,wealth_q,elderly_hoh,sex_hoh,sex_ch,mother_edu,age_in_months,ch_age_cat_0_5,ch_age_cat_6_8,ch_age_cat_9_23,ch_age_cat_12_23,ch_age_cat_6_23,ch_age_cat_6_59,chweight,breastmilk,liquids_none,solids_none,excl_bf,cont_1223_bf,grains,legumes,dairy,flesh,eggs,vitaminA,other,mdd_ch,formula_times,other_milk_times,yogurt_times,solid_semi_soft_times,mmf_bf_68,mmf_bf_923,solid_semi_soft_milk_times,mmf_nbf_623,mmf_ch,mad_bf_623,milk_feeds_2,mad_nbf_623,mad_ch
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,56.0,0,0,0,0,0,100,0.427546,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,16.0,0,0,100,100,100,100,0.427546,0,0,0,,0.0,100,0,100,100,0,100,100,100.0,,,,3.0,0,0,0,0,0.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Richest,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,57.0,0,0,0,0,0,100,0.427546,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,50.0,0,0,0,0,0,100,0.427546,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,19.0,0,0,100,100,100,100,0.427546,100,100,100,,100.0,0,0,0,0,0,0,0,0.0,,,,,0,0,0,0,0.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,1.0,100,0,0,0,0,0,0.427546,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Richest,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Secondary,36.0,0,0,0,0,0,100,0.427546,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,24.0,0,0,0,0,0,100,0.427546,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,33.0,0,0,0,0,0,100,0.427546,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,6.0,0,100,0,0,100,100,0.427546,100,0,0,,,0,0,100,0,0,100,0,0.0,,1.0,,2.0,100,0,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,2.0,100,0,0,0,0,0,0.427546,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,11.0,0,0,100,0,100,100,1.060035,100,0,0,,,100,0,100,0,0,100,0,0.0,,1.0,,3.0,0,100,100,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,7.0,0,100,0,0,100,100,1.060035,100,0,0,,,100,0,0,0,0,0,0,0.0,,,,2.0,100,0,0,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,40.0,0,0,0,0,0,100,1.060035,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,24.0,0,0,0,0,0,100,1.060035,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,31.0,0,0,0,0,0,100,1.060035,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,56.0,0,0,0,0,0,100,1.060035,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,23.0,0,0,100,100,100,100,1.060035,100,0,0,,100.0,100,100,100,100,100,100,100,100.0,,3.0,,3.0,0,100,100,0,100.0,100,100,0,100.0
Total,2010,Rural,Great Lake,Middle,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,18.0,0,0,100,100,100,100,1.060035,0,0,0,,0.0,100,0,0,100,100,100,100,100.0,,,,3.0,0,0,0,0,0.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,50.0,0,0,0,0,0,100,1.060035,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,32.0,0,0,0,0,0,100,1.060035,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Richest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,17.0,0,0,100,100,100,100,0.977233,0,0,0,,0.0,100,0,0,100,100,100,100,100.0,,,,3.0,0,0,0,0,0.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,1.0,100,0,0,0,0,0,0.814377,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,31.0,0,0,0,0,0,100,0.814377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,24.0,0,0,0,0,0,100,0.814377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: YES,Female,CH Sex: Female,Mother Edu: Primary,31.0,0,0,0,0,0,100,0.814377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,35.0,0,0,0,0,0,100,0.814377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: Primary,7.0,0,100,0,0,100,100,0.814377,100,100,100,,,0,0,0,0,0,0,0,0.0,,,,,0,0,0,0,0.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: None/ECE,56.0,0,0,0,0,0,100,0.814377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,4.0,100,0,0,0,0,0,0.814377,100,0,0,0.0,,0,0,0,0,0,100,0,,,,,3.0,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,57.0,0,0,0,0,0,100,0.814377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,9.0,0,0,100,0,100,100,0.814377,0,0,0,,,100,100,0,100,100,100,100,100.0,,,,2.0,0,0,0,0,0.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,41.0,0,0,0,0,0,100,0.814377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,52.0,0,0,0,0,0,100,0.814377,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,9.0,0,0,100,0,100,100,0.814377,100,0,0,,,100,100,0,100,100,100,100,100.0,,,,3.0,0,100,0,0,100.0,100,0,0,100.0
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,23.0,0,0,100,100,100,100,0.814377,100,0,0,,100.0,100,100,0,100,100,0,0,100.0,,,,3.0,0,100,0,0,100.0,100,0,0,100.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,12.0,0,0,100,100,100,100,0.814377,100,0,0,,100.0,100,0,0,100,0,100,0,0.0,,,,3.0,0,100,0,0,100.0,0,0,0,0.0
Total,2010,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,30.0,0,0,0,0,0,100,0.434677,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Urban,Great Lake,Richest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,22.0,0,0,100,100,100,100,0.434677,0,0,0,,0.0,100,0,0,100,0,0,0,0.0,,,,4.0,0,0,100,100,100.0,0,0,0,0.0
Total,2010,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,,0,0,0,0,0,0,0.434677,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,45.0,0,0,0,0,0,100,0.434677,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Urban,Great Lake,Richest,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Secondary,27.0,0,0,0,0,0,100,0.434677,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,22.0,0,0,100,100,100,100,0.434677,0,0,0,,0.0,100,100,100,100,100,100,100,100.0,,2.0,,4.0,0,0,100,100,100.0,0,100,100,100.0
Total,2010,Urban,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,0.0,100,0,0,0,0,0,0.434677,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,10.0,0,0,100,0,100,100,0.434677,100,0,0,,,100,100,100,100,0,0,100,100.0,2.0,2.0,,3.0,0,100,100,0,100.0,100,100,0,100.0
Total,2010,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,49.0,0,0,0,0,0,100,0.434677,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Urban,Great Lake,Middle,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: None/ECE,38.0,0,0,0,0,0,100,0.434677,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Urban,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,7.0,0,100,0,0,100,100,0.451807,100,0,0,,,100,0,100,100,0,100,0,100.0,,1.0,,,0,0,0,0,0.0,0,0,0,0.0
Total,2010,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,18.0,0,0,100,100,100,100,0.451807,100,0,0,,100.0,100,0,0,100,0,100,100,100.0,,,,1.0,0,0,0,0,0.0,0,0,0,0.0
Total,2010,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Secondary,55.0,0,0,0,0,0,100,0.451807,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Primary,12.0,0,0,100,100,100,100,0.451807,100,0,0,,100.0,100,0,0,100,100,100,100,100.0,,,,3.0,0,100,0,0,100.0,100,0,0,100.0
Total,2010,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,34.0,0,0,0,0,0,100,0.451807,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,15.0,0,0,100,100,100,100,0.451807,0,0,0,,0.0,100,0,100,100,0,0,0,0.0,,1.0,,5.0,0,0,100,100,100.0,0,0,0,0.0
Total,2010,Urban,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,27.0,0,0,0,0,0,100,0.451807,100,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Urban,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,0.0,100,0,0,0,0,0,0.451807,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Urban,Great Lake,Middle,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: None/ECE,3.0,100,0,0,0,0,0,0.451807,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Urban,Great Lake,Rich,Elderly HoH: YES,Male,CH Sex: Female,Mother Edu: None/ECE,2.0,100,0,0,0,0,0,0.451807,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Urban,Great Lake,Richest,Elderly HoH: NO,Male,CH Sex: Female,Mother Edu: Secondary,25.0,0,0,0,0,0,100,0.451807,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Rich,Elderly HoH: YES,Male,CH Sex: Male,Mother Edu: Secondary,8.0,0,100,0,0,100,100,1.270388,100,0,0,,,100,0,0,0,0,0,0,0.0,,,,1.0,0,0,0,0,0.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,59.0,0,0,0,0,0,100,1.270388,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Poor,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Primary,45.0,0,0,0,0,0,100,1.270388,0,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Middle,Elderly HoH: NO,Female,CH Sex: Male,Mother Edu: Primary,1.0,100,0,0,0,0,0,1.270388,100,100,100,100.0,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
Total,2010,Rural,Great Lake,Rich,Elderly HoH: NO,Female,CH Sex: Female,Mother Edu: Secondary,12.0,0,0,100,100,100,100,1.162819,100,0,0,,100.0,100,0,0,100,0,0,0,0.0,,,,5.0,0,100,100,0,100.0,0,0,0,0.0
Total,2010,Rural,Great Lake,Poorest,Elderly HoH: NO,Male,CH Sex: Male,Mother Edu: Primary,35.0,0,0,0,0,0,100,1.162819,100,100,100,,,0,0,0,0,0,0,0,,,,,,0,0,0,0,,0,0,0,
